casos;tos;dolor de garganta;fiebre;cansancio;dolor de cabeza;tengo covid;sintomas covid;test covid;prediction;fecha;Prediction 2
299.0;5.0;4.0;22.0;6.0;12.0;3.0;6.0;14.0;-29.672.272.439.549.300;17/6/20;-29672
310.0;6.0;6.0;18.0;6.0;11.0;3.0;13.0;13.0;14.435.685.941.348.000;18/6/20;14436
294.0;7.0;4.0;15.0;8.0;14.0;2.0;7.0;14.0;46.569.839.998.354.800;19/6/20;46570
280.0;8.0;2.0;22.0;9.0;17.0;1.0;12.0;14.0;2.678.468.049.976.330;20/6/20;2678
256.0;7.0;4.0;23.0;5.0;23.0;5.0;10.0;13.0;25.953.654.556.537.000;21/6/20;25954
324.0;7.0;4.0;18.0;4.0;13.0;1.0;4.0;15.0;7.615.562.038.774.400;22/6/20;7616
362.0;8.0;2.0;23.0;9.0;9.0;2.0;11.0;19.0;5.876.386.537.670.940;23/6/20;5876
410.0;4.0;5.0;28.0;8.0;12.0;4.0;11.0;14.0;-11.703.599.436.828.400;24/6/20;-11704
378.0;10.0;4.0;19.0;10.0;13.0;1.0;9.0;17.0;281.536.058.386.999;25/6/20;282
417.0;5.0;3.0;19.0;5.0;16.0;2.0;8.0;18.0;14.182.857.407.778.500;26/6/20;14183
336.0;6.0;5.0;23.0;6.0;12.0;1.0;12.0;12.0;-2.625.997.344.105.470;27/6/20;-2626
287.0;9.0;3.0;25.0;5.0;11.0;4.0;17.0;10.0;2.941.773.253.223.230;28/6/20;2942
427.0;4.0;4.0;15.0;5.0;12.0;3.0;12.0;23.0;31.697.199.507.388.400;29/6/20;31697
467.0;4.0;4.0;20.0;7.0;13.0;3.0;11.0;15.0;39.175.242.542.627.600;30/6/20;39175
586.0;7.0;4.0;17.0;5.0;12.0;1.0;9.0;14.0;12.462.741.244.731.200;1/7/20;12463
457.0;6.0;5.0;18.0;6.0;16.0;2.0;8.0;14.0;6.471.527.679.651.690;2/7/20;6472
579.0;7.0;5.0;26.0;5.0;12.0;1.0;11.0;8.0;-7.080.140.201.929.380;3/7/20;-7080
461.0;6.0;2.0;22.0;4.0;16.0;0.0;10.0;8.0;6.414.044.934.969.210;4/7/20;6414
463.0;8.0;9.0;29.0;5.0;19.0;2.0;13.0;8.0;-31.411.047.321.131.800;5/7/20;-31411
754.0;5.0;3.0;26.0;7.0;14.0;3.0;15.0;20.0;13.900.335.181.435.900;6/7/20;13900
834.0;6.0;5.0;22.0;3.0;10.0;3.0;14.0;15.0;2.611.054.178.325.770;7/7/20;2611
945.0;6.0;3.0;26.0;6.0;15.0;2.0;16.0;12.0;8.874.966.718.365.630;8/7/20;8875
957.0;9.0;5.0;20.0;7.0;14.0;1.0;15.0;13.0;15.277.322.354.969.200;9/7/20;15277
1179.0;7.0;3.0;23.0;9.0;13.0;1.0;17.0;15.0;496.985.973.089.598;10/7/20;497
916.0;8.0;2.0;23.0;10.0;8.0;1.0;13.0;9.0;-12.354.321.036.516.000;11/7/20;-12354
897.0;8.0;6.0;20.0;5.0;14.0;1.0;17.0;11.0;19.880.322.938.459.700;12/7/20;19880
1439.0;7.0;5.0;27.0;7.0;13.0;5.0;14.0;16.0;16.273.703.311.003.900;13/7/20;16274
1561.0;5.0;4.0;26.0;7.0;10.0;1.0;13.0;19.0;-29.470.563.470.650.900;14/7/20;-29471
1888.0;7.0;7.0;19.0;10.0;13.0;2.0;27.0;19.0;28.849.933.552.130.400;15/7/20;28850
1747.0;10.0;4.0;19.0;7.0;10.0;4.0;38.0;8.0;6.778.632.575.542.020;16/7/20;6779
