casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
331.0,5.0,3.0,24.0,6.0,14.0,4.0,12.0,14.0,1174.0177858159116,15/6/20
308.0,6.0,2.0,23.0,4.0,11.0,1.0,5.0,16.0,193.83398739795598,16/6/20
299.0,5.0,4.0,22.0,6.0,12.0,3.0,6.0,14.0,-296.72272439549346,17/6/20
310.0,6.0,6.0,18.0,6.0,11.0,3.0,13.0,13.0,1443.5685941348092,18/6/20
294.0,7.0,4.0,15.0,8.0,14.0,2.0,7.0,14.0,465.69839998354837,19/6/20
280.0,8.0,2.0,22.0,9.0,17.0,1.0,12.0,14.0,267.8468049976339,20/6/20
256.0,7.0,4.0,23.0,5.0,23.0,5.0,10.0,13.0,2595.3654556537076,21/6/20
324.0,7.0,4.0,18.0,4.0,13.0,1.0,4.0,15.0,761.5562038774403,22/6/20
362.0,8.0,2.0,23.0,9.0,9.0,2.0,11.0,19.0,587.6386537670941,23/6/20
410.0,4.0,5.0,28.0,8.0,12.0,4.0,11.0,14.0,-1170.3599436828458,24/6/20
378.0,10.0,4.0,19.0,10.0,13.0,1.0,9.0,17.0,281.536058386999,25/6/20
417.0,5.0,3.0,19.0,5.0,16.0,2.0,8.0,18.0,1418.2857407778552,26/6/20
336.0,6.0,5.0,23.0,6.0,12.0,1.0,12.0,12.0,-262.5997344105473,27/6/20
287.0,9.0,3.0,25.0,5.0,11.0,4.0,17.0,10.0,2941.773253223232,28/6/20
427.0,4.0,4.0,15.0,5.0,12.0,3.0,12.0,23.0,3169.7199507388473,29/6/20
467.0,4.0,4.0,20.0,7.0,13.0,3.0,11.0,15.0,391.75242542627666,30/6/20
586.0,7.0,4.0,17.0,5.0,12.0,1.0,9.0,14.0,1246.2741244731235,1/7/20
457.0,6.0,5.0,18.0,6.0,16.0,2.0,8.0,14.0,647.1527679651695,2/7/20
579.0,7.0,5.0,26.0,5.0,12.0,1.0,11.0,8.0,-708.0140201929389,3/7/20
461.0,6.0,2.0,22.0,4.0,16.0,0.0,10.0,8.0,64.14044934969218,4/7/20
