fecha,casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,suma_keys
30/10/20,21436,28,12,68,14,38,160
31/10/20,16795,24,7,50,7,39,127
1/11/20,16048,53,15,80,9,29,186
2/11/20,19301,56,22,75,10,46,209
3/11/20,21334,25,9,65,12,36,147
4/11/20,20377,36,14,69,17,46,182
5/11/20,19595,41,15,80,6,26,168
6/11/20,19448,27,13,54,10,33,137
7/11/20,15493,49,17,53,3,39,161
8/11/20,12645,34,28,60,10,55,187
9/11/20,17289,48,14,55,14,43,174
10/11/20,17858,28,12,58,10,26,134
11/11/20,16551,23,16,61,15,45,160
12/11/20,14917,36,12,54,16,41,159
13/11/20,14882,39,8,68,10,32,157
14/11/20,11703,41,16,65,9,39,170
15/11/20,9284,32,12,72,20,39,175
16/11/20,13420,30,13,60,23,39,165
17/11/20,13288,32,14,57,11,46,160
18/11/20,11791,41,11,41,11,29,133
19/11/20,9989,26,19,65,11,40,161
20/11/20,10404,20,3,59,7,27,116
21/11/20,8022,32,14,59,11,39,155
22/11/20,6310,28,14,41,12,45,140
23/11/20,9146,37,20,60,6,33,156
24/11/20,9070,25,2,43,9,51,130
25/11/20,8426,17,11,51,17,33,129
26/11/20,7675,32,9,42,9,42,134
27/11/20,8415,15,14,34,5,20,88
28/11/20,6301,24,5,28,2,26,85
29/11/20,5038,24,7,36,10,40,117
30/11/20,7526,29,19,36,16,36,136
1/12/20,8584,16,18,48,8,32,122
2/12/20,7887,26,13,55,10,35,139
3/12/20,6962,23,7,40,12,43,125
4/12/20,7252,44,5,36,5,34,124
5/12/20,5833,20,5,34,11,18,88
6/12/20,4891,29,13,58,7,23,130
7/12/20,6863,34,22,55,2,29,142
8/12/20,6432,33,13,63,8,28,145
9/12/20,8837,19,14,30,11,30,104
10/12/20,9495,20,8,63,9,34,134
11/12/20,10003,24,10,39,13,34,120
12/12/20,8294,15,7,35,13,38,108
13/12/20,6724,20,20,55,12,37,144
14/12/20,10560,23,11,39,12,33,118
15/12/20,11096,27,11,53,8,34,133
16/12/20,10483,23,15,49,8,28,123
17/12/20,9666,15,12,66,17,37,147
18/12/20,10758,37,16,61,3,28,145
19/12/20,8540,31,11,42,4,26,114
20/12/20,7416,16,16,62,11,46,151
21/12/20,11054,24,10,31,9,34,108
22/12/20,11603,24,9,34,0,28,95
23/12/20,11818,40,12,52,7,33,144
24/12/20,10480,17,26,50,0,26,119
25/12/20,8093,52,15,52,8,38,165
26/12/20,10103,45,19,64,12,19,159
27/12/20,10430,32,19,48,9,28,136
28/12/20,16521,30,19,59,7,44,159
29/12/20,16149,38,26,53,9,40,166
30/12/20,16710,28,18,58,10,40,154
31/12/20,14916,19,16,47,5,33,120
1/1/21,13452,26,11,75,9,30,151
2/1/21,15741,37,12,70,10,37,166
3/1/21,15769,34,16,45,4,32,131
4/1/21,24912,39,15,85,13,26,178
5/1/21,29212,38,18,46,12,30,144
6/1/21,19852,28,15,40,6,34,123
7/1/21,27562,47,9,77,2,52,187
8/1/21,33393,19,16,55,4,28,122
9/1/21,26781,30,12,55,14,41,152
10/1/21,24055,26,26,65,10,63,190
11/1/21,35566,25,13,52,11,39,140
12/1/21,36507,24,9,74,4,51,162
13/1/21,35600,37,15,62,15,53,182
14/1/21,34862,33,17,63,7,48,168
15/1/21,39240,46,21,63,21,44,195
16/1/21,30457,49,17,85,11,49,211
17/1/21,25314,46,8,70,14,36,174
18/1/21,38747,47,18,94,4,49,212
19/1/21,38890,27,25,94,9,45,200
20/1/21,37842,34,14,76,15,55,194
21/1/21,34098,35,16,82,27,43,203
22/1/21,36725,33,4,90,11,57,195
23/1/21,27710,32,14,61,18,53,178
24/1/21,22121,41,15,83,21,48,208
25/1/21,32235,29,12,100,24,41,206
26/1/21,31400,33,12,81,16,61,203
27/1/21,29306,34,22,87,7,51,201
28/1/21,26178,32,25,72,31,58,218
29/1/21,25513,40,21,78,8,42,189
30/1/21,18989,47,14,77,14,55,207
31/1/21,13922,39,35,73,4,52,203
1/2/21,21564,32,20,52,20,45,169
2/2/21,20627,33,14,69,16,72,204
3/2/21,17947,34,14,54,18,47,167
4/2/21,15757,29,9,60,16,36,150
5/2/21,15779,17,21,60,15,41,154
6/2/21,11102,36,8,63,16,48,171
7/2/21,8166,46,10,54,10,33,153
8/2/21,12432,31,7,57,12,38,145
9/2/21,11796,44,7,49,18,35,153
10/2/21,10489,29,24,67,20,33,173
11/2/21,9191,31,14,77,7,50,179
12/2/21,9567,40,9,68,21,47,185
13/2/21,6843,40,8,68,6,40,162
14/2/21,5583,28,10,48,16,30,132
15/2/21,8322,22,24,49,11,36,142
16/2/21,8093,36,15,51,16,26,144
17/2/21,7117,35,17,46,13,37,148
18/2/21,6508,34,17,50,17,34,152
19/2/21,6535,26,16,37,20,61,160
20/2/21,5171,27,8,71,21,48,175
21/2/21,4238,39,10,76,6,41,172
22/2/21,6439,24,9,52,15,43,143
23/2/21,6237,32,13,56,15,36,152
24/2/21,5508,35,17,77,17,22,168
25/2/21,5052,28,9,36,9,41,123
26/2/21,5458,35,19,60,16,39,169
27/2/21,4050,37,13,68,17,52,187
28/2/21,3691,39,16,45,12,37,149
1/3/21,5578,14,5,50,12,45,126
2/3/21,5224,37,11,47,15,28,138
3/3/21,5202,31,13,58,18,31,151
4/3/21,4664,39,13,77,9,28,166
5/3/21,4941,17,16,41,19,35,128
6/3/21,3936,34,13,50,15,36,148
7/3/21,3505,46,19,76,17,46,204
8/3/21,5155,29,16,34,20,27,126
9/3/21,4971,31,7,46,20,48,152
10/3/21,4927,24,15,48,20,26,133
11/3/21,4663,27,17,61,17,44,166
12/3/21,5055,26,10,74,24,42,176
13/3/21,3986,32,6,52,15,39,144
14/3/21,3621,18,10,62,14,62,166
15/3/21,5665,28,11,64,14,38,155
16/3/21,5413,41,16,68,15,57,197
17/3/21,5113,21,13,68,11,40,153
18/3/21,5376,23,10,50,17,36,136
19/3/21,5079,24,14,47,14,47,146
20/3/21,4584,36,11,54,11,41,153
21/3/21,4254,38,23,68,23,38,190
22/3/21,6707,38,17,43,23,49,170
23/3/21,6898,32,11,49,13,32,137
24/3/21,6191,31,12,52,15,35,145
25/3/21,6106,30,18,75,8,47,178
26/3/21,6729,43,14,95,14,33,199
27/3/21,5464,48,12,44,23,53,180
28/3/21,5055,17,15,52,8,27,119
29/3/21,7206,23,17,27,12,23,102
30/3/21,7080,45,16,46,18,43,168
31/3/21,7189,30,5,54,20,34,143
1/4/21,6969,36,11,43,25,38,153
2/4/21,5948,38,16,44,16,49,163
3/4/21,6893,44,24,55,7,35,165
4/4/21,6925,36,11,40,13,43,143
5/4/21,8895,48,12,46,18,38,162
6/4/21,9461,29,10,50,13,30,132
7/4/21,8885,23,14,42,12,48,139
8/4/21,8387,19,5,43,20,48,135
9/4/21,8710,28,15,55,11,40,149
10/4/21,7758,39,7,44,16,36,142
11/4/21,6323,37,13,59,12,52,173
12/4/21,9283,17,9,48,8,32,114
13/4/21,8999,35,12,53,21,45,166
14/4/21,9144,27,14,48,17,48,154
15/4/21,8352,20,8,41,26,27,122
16/4/21,8674,39,6,53,22,42,162
17/4/21,7051,34,11,59,13,34,151
18/4/21,6492,36,12,53,7,32,140
19/4/21,8971,33,11,50,12,44,150
20/4/21,9628,30,12,39,18,26,125
21/4/21,8323,27,10,31,10,30,108
22/4/21,8290,15,9,51,15,24,114
23/4/21,8229,27,6,44,18,18,113
24/4/21,6706,30,9,45,12,33,129
25/4/21,5786,40,10,41,21,48,160
26/4/21,8670,25,9,47,23,35,139
27/4/21,8319,32,9,42,16,23,122
28/4/21,7739,45,9,37,13,33,137
29/4/21,6872,44,11,43,12,35,145
30/4/21,7371,47,11,51,12,22,143
1/5/21,5453,26,7,62,7,31,133
2/5/21,4613,29,19,57,12,26,143
3/5/21,6602,34,14,51,17,32,148
4/5/21,6626,25,15,55,6,28,129
5/5/21,6774,20,8,56,12,38,134
6/5/21,5544,28,3,53,17,25,126
7/5/21,5933,37,15,43,18,30,143
8/5/21,4401,34,13,100,11,38,196
9/5/21,3863,35,14,78,18,32,177
10/5/21,6035,36,10,52,16,31,145
11/5/21,5122,43,13,40,7,23,126
12/5/21,5023,24,18,48,12,18,120
13/5/21,4922,31,9,41,14,31,126
14/5/21,4945,22,5,47,10,19,103
15/5/21,4038,52,10,44,23,25,154
16/5/21,3457,36,27,44,7,41,155
17/5/21,5501,57,20,46,22,39,184
18/5/21,5413,37,20,34,22,28,141
19/5/21,4583,39,16,44,23,44,166
20/5/21,4777,27,14,39,14,27,121
21/5/21,4774,20,16,51,12,30,129
22/5/21,3621,38,10,33,7,24,112
23/5/21,3237,57,12,53,10,45,177
24/5/21,4846,57,8,29,17,26,137
25/5/21,4812,34,5,34,20,23,116
26/5/21,4863,53,17,58,22,37,187
27/5/21,4166,28,6,44,17,23,118
28/5/21,4466,36,12,34,20,32,134
29/5/21,3506,34,6,45,11,24,120
30/5/21,2988,43,9,63,23,29,167
31/5/21,4520,30,5,38,11,32,116
1/6/21,4818,26,12,68,14,24,144
2/6/21,4433,32,14,61,17,32,156
3/6/21,3806,23,14,42,31,25,135
4/6/21,3824,18,11,34,19,26,108
5/6/21,3113,35,13,46,13,26,133
6/6/21,2720,24,11,65,15,41,156
7/6/21,4003,29,12,51,15,31,138
8/6/21,3557,31,9,62,17,26,145
9/6/21,3497,22,11,46,8,38,125
10/6/21,3365,38,10,40,24,24,136
11/6/21,3335,24,13,47,11,23,118
12/6/21,2629,33,10,64,14,27,148
